brand,video_id,channel_title,title,description,published_at,view_count,like_count,comment_count,tags,month
Duolingo,-hERd9XVDFs,Duolingo,Rise and Grind. These Scores aren’t gonna raise themselves. #duolingo #score #ashtonhall,,2025-03-25 19:47:14+00:00,9166763,297849,6072,,2025-03-01
Duolingo,Ab8Q8xpjU98,jiyu TV,영어공부를 할 수 밖에 없는 이유...#duolingo,,2025-01-24 10:23:33+00:00,96963,1343,101,,2025-01-01
Duolingo,bN2rUoX7540,Duolingo,Korean or Get Eaten -  Duolingo x Squid Game,"Get ready to sing and dance to 🌸 KOREAN OR GET EATEN 🌸 the new K-pop smash-hit from Duolingo and Squid Game. It’s not just a song, it’s a final warning 💀 

Stream it now on Spotify 🎶: https://open.spotify.com/track/2Vm6NMjzux1219AmUH6my3

Squid Game Season 2 drops on 12/26. Learn Korean on Duolingo…or else.

#duolingo #netflix #squidgame #squidgame2",2024-12-11 15:00:24+00:00,11851442,292625,18657,,2024-12-01
Duolingo,XJmUPG5Rl3E,아이템의 인벤토리,듀오링고는 대체 어쩌다 이런 이미지가 되었는가,"* 듀오링고와 영어공부하기: https://bit.ly/3GFG5Bp

#듀오링고 #duolingo #영어공부",2024-07-28 09:04:57+00:00,1143432,17802,2305,"듀오링고,밈",2024-07-01
Duolingo,PqRKKVWWh0o,Duolingo,Introducing...Duolingo Chess!,"Yes. It’s true. Duolingo now teaches chess! Finally, a course worthy of my genius… and my mustache. 

With Duolingo Chess, you’ll learn strategy, master tactics, and maybe...MAYBE become good enough to challenge me (you won’t win). Soon, there will even a PvP mode, so you can battle real players and win with style.

Go ahead. Make your move. ♟️ https://www.duolingo.com/chess-launch",2025-09-23 14:38:44+00:00,8851458,272827,6986,"duolingo,duo,chess,language learning,learning,education,tech,checkers,board games,science,technology,comedy,entertainment,player,video game,player vs player,elo,score,training,oscar,mascot,toys,shopping,free,application,duol,course,trailer,apple,steve jobs,puppet,dance,korea,korean,spanish,spain,brazil,japan,japanese,india,english,usa,games,gaming",2025-09-01
Duolingo,bfBIvb43O7U,Duolingo,learn A minor in our music course #duolingo #duolingomusic #superbowl #funny,,2025-02-10 01:38:45+00:00,1808547,70503,1733,,2025-02-01
Duolingo,gYMtKEgs0BQ,Duolingo,we witnessed a public burial #duolingo #superbowl,,2025-02-10 02:31:45+00:00,2577832,99170,1942,,2025-02-01
Duolingo,8_Vij3VDBsE,Duolingo,Lily chan? #プロジェクトセカイ #duolingo,,2025-04-18 02:45:49+00:00,9131689,232173,5046,,2025-04-01
Duolingo,MtBHJK20teA,경주최씨 충렬공파 39대손,듀오링고의 단점,,2024-08-27 13:00:21+00:00,995722,38525,429,,2024-08-01
Duolingo,9E3qJkuCMJk,Duolingo,lily’s booked and BUSY #duolingo #funny #lily,,2024-12-21 21:24:55+00:00,2978316,111619,1762,,2024-12-01
Duolingo,BFRu7IVnCcw,먀먀씨,듀오링고광고 더빙ㅋ @duolingo #듀오링고 #duolingo #shorts #short #shortsvideo #shortsfeed #더빙 #티니핑 #캐치티니핑 #ㅊㅊ,,2025-04-05 07:57:41+00:00,191437,2587,63,,2025-04-01
Duolingo,PMmJL_GBTIs,Duolingo,pink pony ghoul #duolingo #lily #chappellroan #spookyseason,,2024-10-01 18:52:47+00:00,2568065,163644,3610,,2024-10-01
